"","mukey","sl_length"
"933","3160472","99.0"
"934","3160473","99.0"
"935","3160474","99.0"
"936","3160475","99.0"
"937","3160476","99.0"
"938","3160477","99.0"
"939","3160478","99.0"
"940","3176162","0.0"
"941","3176170","0.0"
"942","3176171","0.0"
"943","3176172","0.0"
"944","3176173","0.0"
"945","3176174","0.0"
"946","3176175","0.0"
"947","3176176","0.0"
"948","3176177","0.0"
"949","3176178","0.0"
"950","3176179","0.0"
"951","3176180","0.0"
"952","3176183","38.0"
"953","3176184","38.0"
"954","3176185","38.0"
"955","3176186","38.0"
"956","3176187","38.0"
"957","3176188","38.0"
"958","3176189","38.0"
"959","3176190","38.0"
"960","3176220","33.0"
"961","3176224","33.0"
"962","3176233","64.0"
"963","3203431","61.0"
"964","3203432","38.0"
"965","3203435","30.0"
"966","3203436","30.0"
"967","3203439","30.0"
"968","3203441","15.0"
"969","3203444","43.0"
"970","3221036","55.0"
"971","3221145","33.0"
"972","3221156","84.0"
"973","3221157","33.0"
"974","3221161","33.0"
"975","3221162","33.0"
"976","3254470","55.0"
"977","3254471","55.0"
"978","3254472","40.0"
"979","3254473","40.0"
"980","3254476","43.0"
"981","378195","30.0"
"982","378196","61.0"
"983","378198","61.0"
"984","378199","55.0"
"985","378201","91.0"
"986","378202","55.0"
"987","378204","55.0"
"988","378206","64.0"
"989","378210","99.0"
"990","378215","61.0"
"991","381401","99.0"
"992","381402","84.0"
"993","381403","68.0"
"994","381404","33.0"
"995","381405","68.0"
"996","381406","68.0"
"997","381407","53.0"
"998","381408","84.0"
"999","381409","37.0"
"1000","381410","91.0"
"1001","381411","84.0"
"1002","381412","68.0"
"1003","381413","99.0"
"1004","381414","99.0"
"1005","381415","99.0"
"1006","381416","99.0"
"1007","381417","99.0"
"1008","381418","99.0"
"1009","381419","99.0"
"1010","381420","84.0"
"1011","381421","84.0"
"1012","381422","99.0"
"1013","381423","99.0"
"1014","381424","84.0"
"1015","381425","99.0"
"1016","381426","84.0"
"1017","381427","84.0"
"1018","381428","54.0"
"1019","381429","53.0"
